alpha,beta,delta,gamma,type,name,hurst,obs,date_min,date_max,stdev,avg,kurtosis,skewness,min,max,q_1,q_2_5,q_5,q_10,q_25,q_50,q_75,q_90,q_95,q_97_5,q_99,cv,range,std_range,var_01,var_025,var_05,var_10,es_01,es_025,es_05,es_10,rho,Factor1,Factor2,Factor3
1.847781724,0.085269641,-0.257757292,1.108863522,Stock,MOS,0.582217839,1005,10/21/2014,10/16/2018,0.021572114,-0.000231301,1.553245277,-0.173262915,-0.089629193,0.085668792,-0.059570889,-0.04399476,-0.037203061,-0.026136219,-0.011716226,0.000383695,0.011789526,0.024593095,0.034573086,0.043797109,0.053611612,-93.26442341,0.175297984,8.126138436,0.059570889,0.04399476,0.037203061,0.02613622,0.072479438,0.059823813,0.05014355,0.04038545,0.005919956,0.428482226,-0.58018718,0.208907485
1.788373944,0.193530069,-0.516349231,1.082528584,Stock,MPC,0.490100749,1005,10/21/2014,10/16/2018,0.020905768,0.00068264,2.5292346,-0.337496793,-0.096662189,0.085374477,-0.060592363,-0.046958717,-0.035091266,-0.02311781,-0.009820027,0.00212693,0.012273487,0.023480493,0.032093596,0.039203139,0.052067997,30.62486124,0.182036666,8.707485081,0.060592363,0.046958717,0.035091266,0.02311781,0.075245891,0.061277923,0.050331417,0.039489055,0.005492573,0.40614375,-0.303527577,-0.183133319
1.774570977,0.067985721,-0.177667166,1.043348211,Stock,MRK,0.500108033,1005,10/21/2014,10/16/2018,0.01242431,0.000274492,7.153744496,0.433060036,-0.062525948,0.099012625,-0.031314678,-0.024756665,-0.019763135,-0.013044798,-0.006056768,0.000186165,0.006921722,0.013320863,0.019560542,0.023539886,0.0301242,45.26296851,0.161538574,13.00181497,0.031314678,0.024756665,0.019763135,0.013044798,0.042383007,0.034032842,0.027999721,0.021760663,0.010532742,-0.403258907,-0.360788241,0.020728488
1.764016115,0.15470615,-0.334163753,1.103986825,Stock,MRO,0.62221021,1005,10/21/2014,10/16/2018,0.03083952,-0.000478528,3.199631107,0.149099645,-0.123284032,0.188988193,-0.086105169,-0.070142058,-0.052340764,-0.035628646,-0.015535605,0,0.015703392,0.033620958,0.04620917,0.060103924,0.086271627,-64.44657442,0.312272225,10.12571628,0.086105169,0.070142058,0.052340764,0.035628647,0.100574224,0.085831624,0.072375717,0.057309211,0.022049645,1.138657635,-0.517315482,0.779150591
1.787473903,0.054784865,0.0493548,1.071398203,Stock,MS,0.641216696,1005,10/21/2014,10/16/2018,0.016654623,0.000319581,3.435186455,-0.379685147,-0.10703126,0.06856273,-0.04920265,-0.034892426,-0.026199047,-0.018054567,-0.008037786,0.000316506,0.009527623,0.019470145,0.026125188,0.032946023,0.041935241,52.11402308,0.17559399,10.54325803,0.04920265,0.034892426,0.026199047,0.018054567,0.06114414,0.049781772,0.04002593,0.030661277,0.020749083,-0.161700174,-0.273051644,1.080775428
1.834339832,0.079074598,-0.305133847,1.102111761,Stock,MSCI,0.407577612,1005,10/21/2014,10/16/2018,0.013082014,0.001268682,2.513625483,-0.00880372,-0.062528153,0.064464125,-0.033167711,-0.024697284,-0.020114927,-0.014523539,-0.00563662,0.001352224,0.008393536,0.016219254,0.021706596,0.027884389,0.033884131,10.31150365,0.126992278,9.707394897,0.033167711,0.024697284,0.020114927,0.014523539,0.042608582,0.034060281,0.028236195,0.02257598,0.002099671,-0.21645207,-0.46857631,-0.817839352
1.703141062,0.053040379,0.085824055,1.097743111,Stock,MSFT,0.412568409,1005,10/21/2014,10/16/2018,0.014381691,0.000918929,8.439412701,0.161328105,-0.097098589,0.099412986,-0.039077803,-0.028591586,-0.020322681,-0.013768047,-0.005573712,0.000632264,0.007722022,0.016414489,0.021548263,0.028068707,0.03661126,15.65048658,0.196511576,13.66401008,0.039077803,0.028591586,0.020322681,0.013768047,0.053466686,0.04150379,0.032750975,0.024671855,-0.045967024,-0.085967496,-0.078079982,-1.167614234
1.745351691,0.031687241,-0.13729141,1.063844997,Stock,MSI,0.39199256,1005,10/21/2014,10/16/2018,0.012381082,0.000699881,6.489770745,-0.228711977,-0.089664755,0.062660632,-0.032194754,-0.022888636,-0.017476972,-0.012410037,-0.005554973,0.000743508,0.006790079,0.01389982,0.018657844,0.024285685,0.035956816,17.69026775,0.152325387,12.30307579,0.032194754,0.022888636,0.017476972,0.012410037,0.047431862,0.035297396,0.027835361,0.02132656,0.030425309,-0.423492436,-0.052945583,-0.205779321
1.793277185,0.162788016,-0.274508221,1.100539759,Stock,MTB,0.525337942,1005,10/21/2014,10/16/2018,0.013482708,0.000337334,1.98432818,-0.34682175,-0.066788732,0.049957762,-0.037283972,-0.031008912,-0.022669535,-0.015659676,-0.006222796,0.000737529,0.007933854,0.015815478,0.021314772,0.027467832,0.034874349,39.9684207,0.116746494,8.658979496,0.037283972,0.031008912,0.022669535,0.015659676,0.045661246,0.039041423,0.032826472,0.025968966,-0.002115825,-0.264836938,-0.316825597,0.041207379
1.806564687,0.233156002,-0.542370587,1.028903335,Stock,MTD,0.524205962,1005,10/21/2014,10/16/2018,0.013178783,0.000860124,2.81818058,-0.250277239,-0.065931096,0.064799354,-0.038718435,-0.027861627,-0.021319042,-0.01387691,-0.00608686,0.001305121,0.008662875,0.015146945,0.019526885,0.025439776,0.03558772,15.32195896,0.13073045,9.919766305,0.038718435,0.027861627,0.021319042,0.01387691,0.046454894,0.037773636,0.031107568,0.024170266,-0.026004409,-0.233853922,-0.358944839,-0.379273289
